document,label
탑정글 미드 원딜서폿 분위기 딴판인 개웃기네,중립
노래 2년전에 케리아가 방송에서 혼자 불렀었는데 공식적으로 응원가 됐네,중립
팩트는 응원가가 점점 어려워지고 있다는것임,중립
갈수록 어려워지는 음과 박자 갈수록 궁금해지는 현장 반응 위한 케리아,중립
우리 애들 석나가는거 아닌거 확실하죠,중립
이건 익숙한 맛이구만,중립
우와 처음에 김아중 마리아인줄알고 씩겁함 고음 어케하나 걱정 개존나하고들어왔는데 다행이다,중립
웃음을 참지 못함,중립
뉴진스 노래 하고싶었던 류민석이면 개추,중립
0023 빛나는 케리아,중립
널위한케리아넼,중립
이게 제일 잘어울리긴 하넼,중립
우제우제우제를 뛰어넘을 응원가가,중립
006 위한 킬이아였음 좋았을텐데,중립
미안해 애들아 너네가 아니여도 우리가 석나갈거 같아,중립
마리아네 대박,중립
결론 우제는 티원의 오너는 티원의 정글러 페이커는 티원의 페이커 구마유시는 티원의 효자원딜 케리아는 티원의 케리아 뭔가 뭔가 이상하다 구마구마야,중립
봇듀들 난이도 조절 실패했니,중립
이거구나 비공식이 공식으로,중립
지금부터 수련 들어간다 토요일까지 모든 응원가를 완벽히 숙지해야만 한다,중립
케리아케리아,중립
케랴스러워 엇박마저 케랴스러워,중립
난이도가 쌍날비 서폿칼리급이네 케리아케리아 널위한 케리아 이미 2년전부터 준비된 응원가,중립
케리아 사랑해 빛나는 케리아 최고,중립
이거 민석이가 몇년 전부터 자기노래라고 부르고다녔던거잖아,중립
이거 예전에 케리아가 만든거였는데 이거여서 개좋음 맨날 케리아가 캐리하면 케리아 케리아 케리아케리아 맨날 친구랑 같이 보면서 불렀는데 아니여도 케리아 케리아 부를거임 이랬는데 이거여서 좋음,중립
케리아 케리아 하드캐리야,중립
just as thought keria was massively promoting this song since day1 lmao,중립
이거 같이 부를 생각하니까 웃기고 기대됨 웃으면서 부르다가 점점 진심되어서 열창할듯,중립
케리아 귀엽네,중립
1일1 케리아 케리야 하고 케리아가 귀엽다,중립
노래를 고를줄 바로 알았습니다 귀여워요 케리아 너무귀여워요 케리아 사랑해요 놀아주세요,중립
다뜨니까 우제랑 현준이가 선녀였구나,중립
케리아민석 선수님 응원가 가사 케리아 케리아 위한 케리아 빛나는 케리아 티원의 케리아 케리아 위한 케리아 오늘도 캐리야 우리 케리아 케리아 위한 케리아 빛나는 케리아 티원의 케리아 케리아 널위한 케리아 오늘도 캐리야 우리 케리아,부정
오늘도 하드 캐리야 우리 서폿 케리아 부분 경기장에서 맞춰부르면 멋있긴 할듯,중립
쉣더퍽 보고 달려왔습니다,중립
중독성 쩐다 이말이지,중립
필승 케리아도 어울렸을 같은데,중립
널위한케리얔아 찰떡이네진짴,중립
구케 응원가는 이리 어려운거죠 오트우트 응원가 비웃을때가 아니었음,중립
올해에 지금 3일간의 12시가 제일 웃김,중립
단조의 음계는 대체 나는 김아중 마리아인줄 알았지,중립
화사 마리아로 만든 케리아 응원곡이라니 이거 귀하다,중립
018 oh Maria우리 서폿 케리아 오케리아,중립
캐리하는 케리,중립
케리아 응원가는 묘하게 구수하고 웃겨요,중립
마지막 쾌남엔딩 빠져들뻔,중립
음원은 웃긴데 단체로 부르긴 쉽고 좋을거 같다,중립
kumpleto na gais HAHAHAHA bat ganto yung mga chant,중립
아니 음이 높잖아요,중립
케리아오 케리아,중립
어지럽다,중립
바텀듀오 응원가 난이도 상승 티원 팬들 비상,중립
아무리 생각해도 티원 선수라고 발라놓는거 같은뎈,중립
멤버들 반응 영상 찍어서 올려줬으면 좋겠다,중립
생각도 못한 곡이네,중립
오집 게리아,중립
비공식공식응원가였자나 가사잘만들엇당,중립
thought they would use Maria as the soundtrack for Kerias cheering song but didnt expect them to actually do it,중립
듣다가 나갈것 같은데 괜찮은거 맞죠,중립
귀여워서 미칠것 같아요,중립
240 시야안보이는곳에서 깜짝플 미쳣다,중립
케리아 평생 함께 가자,중립
게임뿐 아니라 얼굴도 천상계네,중립
아시안게임 금메달이랑 월즈 우승컵 모두 들어올리자역천괴,중립
금메달따서 항상 웃는모습 보여줘 케리아 아겜 롤드컵화이팅,중립
왤캐 귀엽지 케리아,중립
케리아 평생팬할거니까 케리아도 평생 프로해 아시안게임 화이팅,중립
국대서포터 류민석 아시안게임도 파이팅 건강 챙기시구 힘내요,중립
058 마공점 예상 맞는거같음 애쉬 무빙이 그쪽으로 기미도 안보였고 케리아 성격상 뽀록으로 끌었으면 엄청 신나했을텐데 표정변화도 없이 스무스했음,중립
케리아사랑해,중립
인생 끝까지 함께 하자,중립
최고의 버스기사,중립
핑크 옷이 어울리는 남자 세계 1위,중립
