document,label
미래에서 왔습니다. MSI 3번째 우승을 감축드리옵니다.,긍정
1:19 본인이 날아 오르겠다는 선언 ㄷㄷㄷ,부정
"4:25 이기려는 마음만 있으면 이길 수 있어

띵언",긍정
진지하게 msi 우승하는 꿈을 꿨음 그젠가. 도란 오너 구마 케리아 다 있었고 한명씩 트로피 드는게 인상깊었어 근데 이상하게 페이커는 안보였음 내 시점이 대상혁 시점이였어서 그런가 암튼 ㄹㅇ 꿨어..,긍정
3:28 진짜 미친거 아니냐 캬 대단하다,긍정
3:36 도란은 여기서도 서커스하고있네 ㅋㅋㅋ,부정
대 상 혁,중립
2:50 대상혁의 명언 지고자하면 질수밖에없다 우리 인생도 그렇다 망했다 ㅈ됐다하면 그렇다 이기고자 살아가자,부정
상혁 선수 화이팅! 항상 건강하세요,긍정
6:40 도란의 머해?? ㅋㅋㅋㅋㅋ 귀여워,긍정
2:40 란도 ㅋㅋㅋㅋㅋㅋ 너무 절묘하넼ㅋㅋ,긍정
T1 화이팅,"긍정
"
대상혁 신상혁 갓상혁 로마혁 우리혁 MY GOAT,긍정
우리혁.. 그 나라 국기엔 단풍도 있어.. 아프지 말고.. 언제나.. 응원..할..게.. (아련),긍정
"우리 황제께서는 떠나신 적이 없으십니다~!

""I never left.""",긍정
크으... 영상 제목 뽕찬다 증말,긍정
썸네일 존잘이네용,긍정
귀여워~~,긍정
황제혁 대상혁 신상혁 우리혁 영원하라,긍정
첫판 진짜 라이브로 보고 감탄했었는데,긍정
너무 기다렸다 대 상 혁,긍정
3:30초 뭐얔ㅋㅋㅋㅋ,부정
페이커 선수 msi 축하합니다,긍정
"페이커 주변이 MSI 우승하기 딱 좋은 분위기로 흐르는 듯~
귀신같이 기운을 만드는 롤신~",긍정
제목 감다살 ㅋㅋㅋㅋㅋ,부정
좋은 썸네일이다,"긍정
"
신이시여,"중립
"
Good luckk at MSIII,긍정
미래에서 왔습니다 결승에서 젠지에게 패승패승승으로 이기며 msi 3회우승에 성공합니다 파이널 mvp 도란,긍정
썸넬 아지르가 티켓 물고있는거봐,부정
msi 화이팅 ️,긍정
5:19  your face was jus like,중립
한 말은 다 지킨다 우리팀 너무 사랑함  난 진짜 꿈만같다ㅏ,긍정
형아 나 새벽 4시에 일어나서 경기 꼭꼭 다 챙겨볼테니까 내년에도 해줘야해 알겠지...?,긍정
"황제가 돌아왔다고 하는데, “I Never Left”",중립
MSI 화이팅!!!,긍정
페하,중립
캬,"중립
"
마지막에 웃는거 너무 귀엽당ㅎㅎ 항상 행복하길 우리혁,긍정
Msi 화이팅!,긍정
오너가 반은 울게하고 반은 웃게한다했는데 올해의 반인 6월이 지났습니다. 이제 웃을게요,긍정
GOAT,긍정
MSI화이팅입니다!,긍정
2번째판 탑 도란이네요,중립
비둘기 좋아,"긍정
"
T1 fighting,긍정
또 또 가는구나 진짜 대단하다ㅋㅋㅋㅋ,긍정
"우리혁 대상혁 므시 3번째 우승 드가자~~
2번째판 우리팀에 란도랑 구마 둘 다 있네ㅋㅋㅋㅋㅋ
마지막에 웃는거 귀엽다…",긍정
혁이 캐나다 가기 전에 잘 먹고 푹 쉬다가,긍정
"떠난적도 없는 우리혁ㅋㅋ
캐나다 잘 다녀오세요",긍정
오늘도 어김없이 숭배의 시간이군요!,긍정
응원합니다,"긍정
"
대상혁 화이팅!,"긍정
"
우리혁 msi 화이팅,긍정
0:22 요즘 한분 땜에 자꾸 자막이 다르게 보여,"부정
"
올해는 MSI도 우승하죠!,긍정
Fighting,긍정
T1 잘싸우고 돌아와라 응원한다 ㅎㅎ,긍정
2분전은 못참지,부정
페센세 !,긍정
대상혁 신상혁 갓상혁,중립
우승 미리 축하드립니다,"긍정
"
welcome back,"긍정
"
할 수 있다,긍정
5:17 XD,중립
상혁아 사랑해,긍정
신상혁,중립
이말은 MSI에서 아지르를 쓰실 것이라는 메시지군요,"중립
"
우.리.혁.,"중립
"
"23:9 이면 그냥 담겜 수준인데
이걸 역전해?",부정
대상혁 화이팅!! 므시 우승 가자!!,긍정
저 피에도 계속 딜넣는 역쉬 대상혁!!,부정
주인님 msi 우승해주세요 ️,긍정
밴쿠버~,중립
대상혁,"중립
"
THE GOAT FEEEI-KAHHH,중립
ㅋㅋㅋㅋㅋㅋㅋ,긍정
아 31초전은 못참지 ㅋ,긍정
MSI fighting!,긍정
얼굴도 실력처럼 좋으신 페황,긍정
티원 ㅎㅇㅌ,긍정
안녕하세요~ 대상혁입니다 MSI에 고전파 데려가겠습니다~,긍정
1등 대상혁,긍정
"이거 보고 MSI 4강 기대 안할 수 없잖아요 ㅠㅠ 아 맞다 부담 주면 안되니까 뒤에서 묵묵히 항상 응원할게요!!
대상혁, 불사대마왕 화이팅!!! 
05:08 모짜르트혁 티원 화이팅",긍정
"Good luck! 



T1 fighting!🫶
️",긍정
빨리 대회에서 대상혁 영접하고 싶습니다....!!!!!,긍정
The thumbnails are so good. Well done again Koz!,긍정
썸네일 아지르 왤케 귀여워,긍정
대상혁,"중립
"
神상혁,중립
대  상  혁    무한지지합니다,긍정
3:28 여기 미친거 아니냐는 댓 있던데 브실골 + 아지르 0판인 나는 저게 왜 대단한지 모른다 병사 배치 or 저 두꺼운 벽을 넘는 거 or 궁으로 넘겨온거 or 다른 무언가..?? 안웅기 coo님의 마음 또한 이랬을 것..☆,부정
hi,"중립
"
2번째판은 멤버가 초호화기도하네 도황에 구마에 피터..,중립
아 기대받는 티원.... 여러분 부두술 써야할 때가 왔어요 ㅎㅎ,부정
"23:17만에 결승 첫세트 끝내는....
명경기 잘 봤습니다.",긍정
the sound effects added to the video are hilarious!,긍정
26분 50초 구마 킬,중립
우리혁 썸네일 사진 잘나왔다,긍정
"""I've never left""","중립
"
ㄷㄷㄷㄷㄷ,부정
황제여 이제 다신 어디 가는일 없으시길..,부정
"페이커의 아지르는
경이롭고 아름답군요",긍정
이길 마음만 있다면 이길 수 있어,긍정
숭배합니다 대상혁!,긍정
대마왕님이 가신다,"부정
"
"요즘 아지르 안해도 이겨서 넘 좋드라
황제는 비장의 무기 ㅋㅋ",긍정
1일 1 숭배,중립
다들 끝까지 의심안하다니 불안해지잖냐 집갈때 쓰레기 주으면서 가라이이,부정
쭈인님,중립
상시 숭배중입니다,긍정
how fast is his sens? dpi?,중립
le pusiste weno hermano mio saludos,중립
"??? = 두번째 우승은 저를 위한것이었다면
세번째 우승은 우리 팀을 위한 것입니다",긍정
Hi,"중립
"
mi idolo,긍정
오늘 추가 방송 잡힌 거 넘 좋다..,긍정
"솔랭좀 해본 사람이면 첫번째 판은 진짜 절망적인 판인거 알텐데
또 당신입니까 신 상 혁",부정
"우리혁 MSI 화이팅
레전드 캐리판 페지르 3:00 ~ 3:34 4:10
(ps. 그리고 편집하느라 고생많으시겠지만
댓글관리도 선 넘은 글들은 삭제 부탁드려요 🫡🫡
6/2 제드판도 존버한다)",긍정
"선전포고도 아니고 군사비밀작전인데 의회 승인은 뭔... ㅋㅋㅋ

트럼프도 진짜 억까 당하네 ㅋㅋㅋ",부정
아 아니 내생각이긴한데 아 어리고 싶다 친구 =이기고 싶다~~ㅋㅋㅋㅋㅋㅋ,부정
"대 상 혁
2:17 이거 왜 안 넘어간 거예요? E 맞은 건가요?
3:20",부정
진짜 억지로 이겨주네…ㅋㅋㅋㅋㅋ,부정
이제부터 일정 진짜 헬일텐데 언제나 그랬듯 컨디션 건강 잘 챙겨가면서 좋은 결과 있길! 응원하겠습니다,긍정
자 다들 조만간 신전에서 만납 합시다 ^^,긍정
솔직히 msi는 오랜만이니까 트로피 가져와도 양심 없는건 아니지 않냐 ??? Msi 좀 우승 하자,긍정
대상혁 므시 해줘 아 그냥 msi ewc lck 월즈까지 다 해줘!!!!,긍정
6:40 머해 ??,중립
페손실 심하다 ..,부정
Cheer up! Brave enough to win your sixth championship!,긍정
숭배 할 시간입니다,긍정
가즈아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,긍정
오웅,중립
"많은분들이 제가 다시 msi로 돌아왔다 말씀해주셨는데...








""I never left.""",중립
구독 200만 진짜 볼때마다 대단하다,긍정
Bro that first kill on sylas,중립
양심 없는거 모르겠고 msi 리그 월즈 다 우승해 그냥,부정
나 골든데 대상혁 한번 내려와서 하는 이벤트 랭겜 없나 그냥 운으로 걸리는 사람들이랑 같이 하는 그런거 ㅠ 한번만이라도 같이 하고싶다,부정
당신과 당신의 팀을 축하합니다,긍정
상혁이형 아직 솔직히 좀 아쉬운데 더 잘해서 ３번째 우승 가보자 홧팅,긍정
7월13일 msi t1우승 7월20ewc t1 우승 축하드립니다!!!,긍정
황제가 돌아왔다 (점프킹으로 시작함),긍정
제목이 조금 이상한것 같습니다 여기 황제가 어딨죠? 제눈엔 신밖에 안보이는데,부정
형님 군입대때문에 MSI를 끝까지 못보지만 그래도 우승하십쇼,긍정
별 5개 ㅈㄴ간지나느ㅏ,긍정
ㅋㅋ 아지르너프 리신 버프 진짜 라이엇,부정
"아니 이사람들 겸손을 잊었네
우리 티원 그렇게 강팀 아닙니다

젠어강,비어강,아어강.지어강",부정
썸내일 비둘기가 티켓 물어 오는것 같아서 귀엽네 ㅋㅋ,긍정
썸네일 아지르 시드권 물고있는거 개귀엽네ㅋㅋㅋㅋㅋ,긍정
5400번째 좋아요 ㄷ,긍정
이 제목을 어케 안봐  대상혁 화이팅!!,긍정
주인님 내년 재계약 믿습니다,긍정
대상혁 8년만에 msi 우승 도전 파이팅,긍정
