document,label
국짐은 알았던거야이재명 대통령 되면 국짐이 얼마나 무능한 단체라는 적나라하게 드러나게 된다는,긍정
대통령님은 지금 하고 싶은게 많거든요 시간은 한정되어 있고 시간안에 좋은세상을 빨리 만들고 싶어하는 급한 마음이 보입니다 저희들은 믿고 지켜보고 기다리면 됩니다 앞으로 대한민국의 나라를 생각하니 행복합니다,긍정
물만난 대통령 지지합니다 멋져보여요 10년 갑시다,긍정
내눈을 의심햇다 우리나라맞나요 이런토론하는대통령,긍정
국민들이 이재명맛을봐서 보는눈 수준이 올라가니 국힘에서 이재명은 절대안된다던 이유를 알것같다,긍정
눈물이 같지 떠돌아 다니는 소문만 듣고 의심했었는데 이렇게 잘한다고 감사합니다 축복합니다,긍정
세계에서 제일 멋진 사람 이재명이라는 사람,긍정
죽인다 행정의달인좀보소 이제 공무원들 정신바짝차려야하겠다 진짜가 나타났다,긍정
10년 가즈아,긍정
전세계적으로 이대통령님만큼 일잘하는 대통령은 못봤네요 가족지인들 설득해서 대통령님 뽑은 보람을 절실히 느낍니다 건강챙겨가면 일하세요,긍정
노무현이 꿈꾸던 지역 균형 발전이 이재명 시대에 제대로 꽃이 피기를,긍정
보수가 그렇게 싫어했던 이유 국짐은 국민들 눈가리고 입막고 닫게 바보를 만들어야하는데 민의에 닿는 대통령 나오면 지들 실력 드러나거든국짐은 하루빨리 없어져야 우리나라 흥한다,긍정
일잘하고 성질은 급하고 10년만 대통령하시면 미중한 세계 3위 까지 가능할거같은데,긍정
퍼펙트 1000 강력하게 지지합니다 파이팅,긍정
천재다 천재,긍정
세상에 이런 대통령이 있었나 있나 있을 있나,긍정
노벨 행정상 없나,긍정
지역주택조합을 기억하고 언급하시다니 자세한건 모르지만 선거 유세 영상 중에 지역주택조합 관련해서 억울하다며 소리치고 계신 주민들이 있었는데 당시 이재명 후보님이 그냥 지나치지 않고 자리에서 해결방안을 있는지 이야기 해보라고 하셨던걸 봤습니다 그걸 기억해서 자리에 이야기한걸 보니 대단하다고 느껴집니다,긍정
포스트 세종대왕이다,긍정
잼형 바쁘다 바빠,긍정
5년은 짧다,긍정
대변인 열심히 고생하셨는데 실직자 되시는 건가요 아님 힘드신거 아니 쉬시라고 배려 해주신건가요 좋습니다 이런 국민 토론회 항상 건강 챙기시고요 대통령님,긍정
노무현때는 무지하고 부족해서 지켜드렸다 그렇게 그를보내고 엄청 후회하며 울었던 기억이있다 이번엔 절대 지키자 잼형 경호좀 잘해주세요 잘해도 불안해 자꾸,긍정
나는 매일 매일 대통령 바라기 한다참 좋다,긍정
이재명대통령님은 이시간도 아까워서 직접 진행까지 하시는 역시나 멋집니다,긍정
이재명대통령을 투표한 한사람의 국민으로서 진심으로 부탁드립니다 대한민국을 2035년까지 부탁드립니다,긍정
백년에한번나올까말까한대통령이다,중립
국민이 주권인 나라 대한민국이 되겠네요 이재명 대통령님 화이팅,긍정
벌써 임기가 3주나 지났습니다 벌써 5년뒤가 두렵습니다 임기 3년차때 개헌해서 544 해주세요 13년이면 맘이 놓일거 같습니다,긍정
대박 대통령이 이렇게 다방면에 전문가 5년은 짧다,긍정
대변인님 살이 빠지셨네요 고생 하십니다 응원 합니다,긍정
5년은 부족한 시간입니다 최소 10년은 대한민국을 이끌었으면 합니다,긍정
믿음직해 잼프,긍정
역시 우리대통령 대단하십니다 건강챙기시면서 일해주세요 존경합니다,긍정
우리나라 세기에 한분 나올만한 세종대왕님이시당,긍정
행정력 빠르다 대통령이 직접 지휘체계 넘기고 바로 시간줄이고 바로 간다는게 이게 말이되냐 똑똑하고 역대 대통령중에 최고다 바로바로 실행력 인정한다 2찍들아 반성해라 이재명 돼면 망한다고 인간들 무지한 국민들,긍정
행정처리 능력은 갑이네 빨리 빨리 처리하는 성격이시구나 옆에 공무원들 열심히 일하셔야겠다,긍정
내가 뽑은 대통령이지만 본질로 파고드는 바로 이런 모습 실로 대단한 인물을 뽑았다 그를 대통령 만드는데 보탰다는 자랑스럽다,긍정
능력자능력자 매력있다 최고의 대통령,긍정
대통령 아무나 하는게 아니구나 시켜줘도 못하겠다건강 챙기세요,긍정
하루하루가 아까운 대통령의 시간 오래 우리의 대통령으로 있었으면,긍정
야이렇게 공개방송 해버리면 누가 일잘하고누가 꿍꿍이고 담에 누굴 뽑을까 까지 전부 확실해지네 돈들어가는거 아닌데도 지역현황리더 모든게 실력대로 능력대로이런분한테 대장동 누명씌우고 지랄한거지 성남시민 전부가 빚갚은 은혜를 기억하는데,긍정
이것이야 말로 진짜다 봐라 아주빠르게 일잘하시잖아 역시 대통령,긍정
나라가 나라답게 가는길 2찍들도 이제는 헛소리좀 그만하고 객관적으로 봐라,긍정
이렇게 명확하게 의견조차도 오픈하면 의심할 국민은 없을거다 지역균형발전에 진심인 대통령이라 우리지역은 아니지만 뿌듯합니다,긍정
균형발전 아무도 못하고 서울과 수도권으로 인구밀도 갈수록 포화상태되고 지방은 비어가며 소멸지경인데 역시 갓재명입니다이렇게 하시잖아요,긍정
일에 대한 열정과 진심에 참모들이 못따라감요,긍정
강유정대변인 실직위기,긍정
벌써 3주가 갔어요 5년 짧아요 아우 가는 시간 아까워라 대통령님 건강하세요,긍정
아껴야하는데 좋다못해 신나지만 A모르겠다하고 싶은거 다하세용,긍정
내가 보고싶던 대통령의 모습이다,긍정
잘합니다 힘들때 대통령 되어서 건강 챙기면서 하이소,긍정
그동안 하고싶었는데 못했는데 신나서 일만 하시는거 같음 전기가 남는다고 허가 안된다는게 말이되냐고 산업단지라도 유치하자는데 신박한 얘기네 히야,긍정
5년 가지고는 안되겠어요 대통령도 중임제에 포함해서 해주세요,긍정
우리나라가 독보적인 국가가 듯하네요 통일도 하세요,긍정
5년은 짧다 캐치프레이즈로 겁시다,긍정
국회의원 200명 넘겨서 개헌 연임 시켜야함 본인이 추진한거 마무리 시켜야됨,긍정
뉴스안보고 살았는데 유트브도 쓸때없는거만보고 살았는데 요새는 계속 이재명대통령님 일하시는모습에 빠져서 폰만잡으면 봅니다 너무좋아요,긍정
할것 같아 선택 했습니다 현제까지 대만족 입니다 그래도 부하직원이지만 존중과 양해를 구해줬으면 하는 바람입니다,긍정
투표 잘했다눈물 난다진짜 대통령,긍정
국민들이 대통령 걱정하는 나라 몇이나 될까요 참말로 가는곳마다 발자국 남기니 좋네요 이재명대통령뿐,긍정
사법시험 부활해야 한다고 봅니다 그래야 흙수저들도 노력하면 성공할 있다는 희망이 있습니다,긍정
사람 사람이 아닌것 같아요 하늘이 내려주신분이 분명해요 어떻게 하루도 쉬지않고 나랏일을 이렇게 열심히 할수가 있죠,긍정
진짜가 나타났습니다 술주정뱅이 말아먹은 3년너무 아깝습니다,긍정
부산살지만 광주 발전이 되기를 희망합니다민주주의 성지광주분들 감사합니다,긍정
사법시험 부활 찬성합니다,긍정
금수저만 가게 되는건 문제예요,긍정
일도 중독입니다 건강 챙기셔야 됩니다 그래야 부려먹는 국민도 마음이 편합니다,긍정
김대중 노무현 대통령의 모습이네요 감사합니다,긍정
IMF 이후 사법시험은 등록금만 내고 사교육에 의존하던 시대였죠 회계사 변리사 모든 인기 자격증도 사교육을 받지 않으면 합격이 불가능했죠 지금은 어느새 AI 시대가 되어 자격증도 자본이 없는 때가 되어 버렸어요 병적인 대한민국의 사교육으로는 학문적인 노벨상이 100년 뒤에도 안나온다고 하니 근본적인 교육 문화가 바뀌어야 이것도 현재로서는 불가능하고 각자 조금씩 바람직한 방향을 찾아나가야 하는 원론적인 말밖에 말이 없네요 그래도 광주를 AI 중심으로 산업을 일으킨다고 하니 이재명 정부에 감사할 따름입니다,긍정
